dataset,algorithm,speedup_vs_proposed
BIBLE,USpan,9.117753623188406
BIBLE,HUSP-ULL,65.41847826086955
BIBLE,IncUSP-Miner+,90.83242753623188
BIBLE,Pre-HUSPM,33.37499999999999
BIBLE,Adaptive-Full,1.0
BMS1,USpan,1.255896607431341
BMS1,HUSP-ULL,0.23651050080775443
BMS1,IncUSP-Miner+,0.3337641357027463
BMS1,Pre-HUSPM,7.377059773828756
BMS1,Adaptive-Full,1.0
FIFA,USpan,11.085202565156308
FIFA,HUSP-ULL,6.221087037550295
FIFA,IncUSP-Miner+,
FIFA,Pre-HUSPM,4.607532996282244
FIFA,Adaptive-Full,1.0
KOSARAK,USpan,5.037539490800966
KOSARAK,HUSP-ULL,1.9109211422907761
KOSARAK,IncUSP-Miner+,2.7481880691321314
KOSARAK,Pre-HUSPM,1.1816267112680419
KOSARAK,Adaptive-Full,1.0
LEVIATHAN,USpan,9.325396825396826
LEVIATHAN,HUSP-ULL,56.29365079365079
LEVIATHAN,IncUSP-Miner+,61.6031746031746
LEVIATHAN,Pre-HUSPM,
LEVIATHAN,Adaptive-Full,1.0
SIGN,USpan,18.362275449101798
SIGN,HUSP-ULL,4.815568862275449
SIGN,IncUSP-Miner+,7.983832335329342
SIGN,Pre-HUSPM,3.8353293413173657
SIGN,Adaptive-Full,1.0
