dataset,variant,status,runtime_s,explored
BIBLE,Full,OK,1.574,17970.0
BIBLE,-IUB(C3),OK,1.565,17970.0
BIBLE,-Block(C4),OK,1.508,17970.0
BIBLE,Pre-HUSPM,OK,28.685,10040047.0
BMS1,Full,OT,,
BMS1,-IUB(C3),OT,,
BMS1,-Block(C4),OT,,
BMS1,Pre-HUSPM,OOM,,
FIFA,Full,OK,190.859,1287526.0
FIFA,-IUB(C3),OK,191.468,1287526.0
FIFA,-Block(C4),OK,189.973,1287526.0
FIFA,Pre-HUSPM,OK,838.804,1135046161.0
KOSARAK,Full,OK,31.234,44606.0
KOSARAK,-IUB(C3),OK,37.08,44606.0
KOSARAK,-Block(C4),OK,32.991,44606.0
KOSARAK,Pre-HUSPM,OK,40.765,36619139.0
LEVIATHAN,Full,OK,0.286,11103.0
LEVIATHAN,-IUB(C3),OK,0.303,11103.0
LEVIATHAN,-Block(C4),OK,0.288,11103.0
LEVIATHAN,Pre-HUSPM,OK,4.202,4166831.0
SIGN,Full,OK,2.203,413120.0
SIGN,-IUB(C3),OK,2.436,413120.0
SIGN,-Block(C4),OK,2.225,413120.0
SIGN,Pre-HUSPM,OK,8.519,67227632.0
