run_id,timestamp,algorithm,dataset,iteration,runtime_ms,peak_heap_mb,candidate_count,explored_nodes,total_patterns_found,pruned_swu,pruned_depth,pruned_lar,pruned_iip,pruned_tsu,pruned_peu,pruned_value,pruned_iub,lut_dyn,cub_val,cub_triggered,op_type,prelarge_count,uut_val,sft_val,rescan_count,blocks_read,blocks_skipped,sigma2,rho
USpan_SIGN_SC1_su=0.02_0,2026-06-06T17:46:49.653685,USpan,SIGN,0,49895,99,80605452,10050144,3030,70555308,9402649,0,0,0,0,0,0,0.0,0.0,False,SC1_su=0.02,0,0.0,0.0,0,0,0,0.0,0.0
HUSP-ULL_SIGN_SC1_su=0.02_0,2026-06-06T17:47:39.855331,HUSP-ULL,SIGN,0,12919,321,80605452,647548,3030,59,0,53,79957845,0,0,0,0,0.0,0.0,False,SC1_su=0.02,0,0.0,0.0,0,0,0,0.0,0.0
IncUSP-Miner+_SIGN_SC1_su=0.02_0,2026-06-06T17:47:53.090136,IncUSP-Miner+,SIGN,0,20555,11111,80605452,647495,3030,0,0,0,0,79957957,0,0,0,0.0,0.0,False,SC1_su=0.02,0,0.0,0.0,0,0,0,0.0,0.0
Pre-HUSPM_SIGN_SC1_su=0.02_0,2026-06-06T17:48:13.963197,Pre-HUSPM,SIGN,0,10545,3241,146912453,146912453,3030,0,0,0,0,0,145610650,0,0,0.0,0.0,False,SC1_su=0.02,654308,0.0,3199.2897959183674,0,0,0,0.0,0.0
USpan_SIGN_SC1_su=0.025_0,2026-06-06T17:48:28.365450,USpan,SIGN,0,30665,81,44190746,4822460,641,39368286,4496112,0,0,0,0,0,0,0.0,0.0,False,SC1_su=0.025,0,0.0,0.0,0,0,0,0.0,0.0
HUSP-ULL_SIGN_SC1_su=0.025_0,2026-06-06T17:48:59.344792,HUSP-ULL,SIGN,0,8042,323,44190746,326393,641,73,0,45,43864280,0,0,0,0,0.0,0.0,False,SC1_su=0.025,0,0.0,0.0,0,0,0,0.0,0.0
IncUSP-Miner+_SIGN_SC1_su=0.025_0,2026-06-06T17:49:07.699470,IncUSP-Miner+,SIGN,0,13333,9552,44190746,326348,641,0,0,0,0,43864398,0,0,0,0.0,0.0,False,SC1_su=0.025,0,0.0,0.0,0,0,0,0.0,0.0
Pre-HUSPM_SIGN_SC1_su=0.025_0,2026-06-06T17:49:21.347006,Pre-HUSPM,SIGN,0,6405,1445,80605452,80605452,641,0,0,0,0,0,79957957,0,0,0.0,0.0,False,SC1_su=0.025,321147,0.0,4019.6205128205106,0,0,0,0.0,0.0
USpan_SIGN_SC1_su=0.03_0,2026-06-06T17:49:30.200282,USpan,SIGN,0,20598,96,26864196,2656567,152,24207629,2469925,0,0,0,0,0,0,0.0,0.0,False,SC1_su=0.03,0,0.0,0.0,0,0,0,0.0,0.0
HUSP-ULL_SIGN_SC1_su=0.03_0,2026-06-06T17:49:51.112208,HUSP-ULL,SIGN,0,5558,322,26864196,186693,152,78,0,51,26677425,0,0,0,0,0.0,0.0,False,SC1_su=0.03,0,0.0,0.0,0,0,0,0.0,0.0
IncUSP-Miner+_SIGN_SC1_su=0.03_0,2026-06-06T17:49:56.982446,IncUSP-Miner+,SIGN,0,9401,8826,26864196,186642,152,0,0,0,0,26677554,0,0,0,0.0,0.0,False,SC1_su=0.03,0,0.0,0.0,0,0,0,0.0,0.0
Pre-HUSPM_SIGN_SC1_su=0.03_0,2026-06-06T17:50:06.697561,Pre-HUSPM,SIGN,0,4464,1332,49358254,49358254,152,0,0,0,0,0,48988428,0,0,0.0,0.0,False,SC1_su=0.03,183184,0.0,4848.408247,0,0,0,0.0,0.0
USpan_SIGN_SC1_su=0.032_0,2026-06-06T17:50:13.006235,USpan,SIGN,0,17852,96,22456159,2149386,83,20306773,1996528,0,0,0,0,0,0,0.0,0.0,False,SC1_su=0.032,0,0.0,0.0,0,0,0,0.0,0.0
HUSP-ULL_SIGN_SC1_su=0.032_0,2026-06-06T17:50:31.174294,HUSP-ULL,SIGN,0,4876,319,22456159,152908,83,79,0,50,22303172,0,0,0,0,0.0,0.0,False,SC1_su=0.032,0,0.0,0.0,0,0,0,0.0,0.0
IncUSP-Miner+_SIGN_SC1_su=0.032_0,2026-06-06T17:50:36.364334,IncUSP-Miner+,SIGN,0,8355,8655,22456159,152858,83,0,0,0,0,22303301,0,0,0,0.0,0.0,False,SC1_su=0.032,0,0.0,0.0,0,0,0,0.0,0.0
Pre-HUSPM_SIGN_SC1_su=0.032_0,2026-06-06T17:50:45.032416,Pre-HUSPM,SIGN,0,3896,1332,41439034,41439034,83,0,0,0,0,0,41135521,0,0,0.0,0.0,False,SC1_su=0.032,150655,0.0,5182.320661157025,0,0,0,0.0,0.0
USpan_BMS1_SC1_su=0.013_0,2026-06-06T17:50:50.737732,USpan,BMS1,0,12190,272,14739946,2887154,23,11852792,2828703,0,0,0,0,0,0,0.0,0.0,False,SC1_su=0.013,0,0.0,0.0,0,0,0,0.0,0.0
HUSP-ULL_BMS1_SC1_su=0.013_0,2026-06-06T17:51:03.327649,HUSP-ULL,BMS1,0,1917,2568,14739946,58581,23,70,0,130,14681295,0,0,0,0,0.0,0.0,False,SC1_su=0.013,0,0.0,0.0,0,0,0,0.0,0.0
IncUSP-Miner+_BMS1_SC1_su=0.013_0,2026-06-06T17:51:05.640901,IncUSP-Miner+,BMS1,0,2986,3043,14739946,58451,23,0,0,0,0,14681495,0,0,0,0.0,0.0,False,SC1_su=0.013,0,0.0,0.0,0,0,0,0.0,0.0
Pre-HUSPM_BMS1_SC1_su=0.013_0,2026-06-06T17:51:09.017641,Pre-HUSPM,BMS1,0,166943,16880,2935433811,2935433811,23,0,0,0,0,0,2922960503,0,0,0.0,0.0,False,SC1_su=0.013,12414857,0.0,8914.233029381965,0,0,0,0.0,0.0
USpan_BMS1_SC1_su=0.014_0,2026-06-06T17:54:23.073656,USpan,BMS1,0,3887,256,4235939,752170,20,3483769,735319,0,0,0,0,0,0,0.0,0.0,False,SC1_su=0.014,0,0.0,0.0,0,0,0,0.0,0.0
HUSP-ULL_BMS1_SC1_su=0.014_0,2026-06-06T17:54:27.366792,HUSP-ULL,BMS1,0,732,773,4235939,16978,20,78,0,127,4218883,0,0,0,0,0.0,0.0,False,SC1_su=0.014,0,0.0,0.0,0,0,0,0.0,0.0
IncUSP-Miner+_BMS1_SC1_su=0.014_0,2026-06-06T17:54:28.493977,IncUSP-Miner+,BMS1,0,1033,971,4235939,16851,20,0,0,0,0,4219088,0,0,0,0.0,0.0,False,SC1_su=0.014,0,0.0,0.0,0,0,0,0.0,0.0
Pre-HUSPM_BMS1_SC1_su=0.014_0,2026-06-06T17:54:29.925075,Pre-HUSPM,BMS1,0,22832,7943,389388611,389388611,20,0,0,0,0,0,387754768,0,0,0.0,0.0,False,SC1_su=0.014,1616992,0.0,9609.679513,0,0,0,0.0,0.0
USpan_BMS1_SC1_su=0.015_0,2026-06-06T17:54:57.370216,USpan,BMS1,0,1771,267,1696531,270576,17,1425955,263903,0,0,0,0,0,0,0.0,0.0,False,SC1_su=0.015,0,0.0,0.0,0,0,0,0.0,0.0
HUSP-ULL_BMS1_SC1_su=0.015_0,2026-06-06T17:54:59.549032,HUSP-ULL,BMS1,0,412,269,1696531,6791,17,90,0,118,1689650,0,0,0,0,0.0,0.0,False,SC1_su=0.015,0,0.0,0.0,0,0,0,0.0,0.0
IncUSP-Miner+_BMS1_SC1_su=0.015_0,2026-06-06T17:55:00.360938,IncUSP-Miner+,BMS1,0,503,565,1696531,6673,17,0,0,0,0,1689858,0,0,0,0.0,0.0,False,SC1_su=0.015,0,0.0,0.0,0,0,0,0.0,0.0
Pre-HUSPM_BMS1_SC1_su=0.015_0,2026-06-06T17:55:01.260025,Pre-HUSPM,BMS1,0,4723,1410,74907406,74907406,17,0,0,0,0,0,74602422,0,0,0.0,0.0,False,SC1_su=0.015,298311,0.0,10306.538071065988,0,0,0,0.0,0.0
USpan_BMS1_SC1_su=0.016_0,2026-06-06T17:55:07.684585,USpan,BMS1,0,983,237,970597,114528,15,856069,110748,0,0,0,0,0,0,0.0,0.0,False,SC1_su=0.016,0,0.0,0.0,0,0,0,0.0,0.0
HUSP-ULL_BMS1_SC1_su=0.016_0,2026-06-06T17:55:09.076778,HUSP-ULL,BMS1,0,302,276,970597,3895,15,97,0,115,966605,0,0,0,0,0.0,0.0,False,SC1_su=0.016,0,0.0,0.0,0,0,0,0.0,0.0
IncUSP-Miner+_BMS1_SC1_su=0.016_0,2026-06-06T17:55:09.784478,IncUSP-Miner+,BMS1,0,309,303,970597,3780,15,0,0,0,0,966817,0,0,0,0.0,0.0,False,SC1_su=0.016,0,0.0,0.0,0,0,0,0.0,0.0
