run_id,timestamp,algorithm,dataset,iteration,runtime_ms,peak_heap_mb,candidate_count,explored_nodes,total_patterns_found,pruned_swu,pruned_depth,pruned_lar,pruned_iip,pruned_tsu,pruned_peu,pruned_value,pruned_iub,lut_dyn,cub_val,cub_triggered,op_type,prelarge_count,uut_val,sft_val,rescan_count,blocks_read,blocks_skipped,sigma2,rho
IncUSP-Miner+_SIGN_SC2_INIT_0,2026-06-06T21:40:19.472401,IncUSP-Miner+,SIGN,0,13494,10994,44190746,326348,641,0,0,0,0,43864398,0,0,0,0.0,0.0,False,SC2_INIT,0,0.0,0.0,0,0,0,0.0,0.0
IncUSP-Miner+_SIGN_SC2_INC_1,2026-06-06T21:40:34.245896,IncUSP-Miner+,SIGN,1,5963,13812,12143009,12167709,348,0,0,0,0,11920547,0,0,0,0.0,0.0,False,SC2_INC,0,0.0,0.0,0,0,0,0.0,0.0
IncUSP-Miner+_SIGN_SC2_INC_2,2026-06-06T21:40:47.221732,IncUSP-Miner+,SIGN,2,8272,6768,8141633,15049930,198,0,0,0,0,14849223,0,0,0,0.0,0.0,False,SC2_INC,0,0.0,0.0,0,0,0,0.0,0.0
IncUSP-Miner+_SIGN_SC2_INC_3,2026-06-06T21:41:06.574071,IncUSP-Miner+,SIGN,3,-1,2682,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,False,SC2_INC_OOM,0,0.0,0.0,0,0,0,0.0,0.0
IncUSP-Miner+_SIGN_SC2_INC_4,2026-06-06T21:42:47.954606,IncUSP-Miner+,SIGN,4,-1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,False,SC2_INC_SKIPPED_POISONED,0,0.0,0.0,0,0,0,0.0,0.0
IncUSP-Miner+_SIGN_SC2_INC_5,2026-06-06T21:42:47.957576,IncUSP-Miner+,SIGN,5,-1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,False,SC2_INC_SKIPPED_POISONED,0,0.0,0.0,0,0,0,0.0,0.0
Pre-HUSPM_SIGN_SC2_INIT_0,2026-06-06T21:42:48.280597,Pre-HUSPM,SIGN,0,8364,1781,80605452,80605452,641,0,0,0,0,0,79957957,0,0,0.0,0.0,False,SC2_INIT,321147,0.0,4019.6205128205106,0,0,0,0.0,0.0
Pre-HUSPM_SIGN_SC2_INC_1,2026-06-06T21:42:57.190022,Pre-HUSPM,SIGN,1,8128,2370,69792243,69792243,348,0,0,0,0,0,69271120,0,0,0.0,0.0,False,SC2_INC,253716,0.0,4898.205128205126,1,0,0,0.0,0.0
Pre-HUSPM_SIGN_SC2_INC_2,2026-06-06T21:43:05.821364,Pre-HUSPM,SIGN,2,7662,979,61787381,61787381,198,0,0,0,0,0,61351213,0,0,0.0,0.0,False,SC2_INC,210427,0.0,5757.969230769228,2,0,0,0.0,0.0
Pre-HUSPM_SIGN_SC2_INC_3,2026-06-06T21:43:13.981322,Pre-HUSPM,SIGN,3,8471,48,0,0,169,0,0,0,0,0,0,0,0,0.0,0.0,False,SC2_INC,142495,0.0,5757.969230769228,2,0,0,0.0,0.0
Pre-HUSPM_SIGN_SC2_INC_4,2026-06-06T21:43:22.928596,Pre-HUSPM,SIGN,4,8782,1339,61647703,61647703,162,0,0,0,0,0,61253731,0,0,0.0,0.0,False,SC2_INC,188395,0.0,7588.979487179483,3,0,0,0.0,0.0
Pre-HUSPM_SIGN_SC2_INC_5,2026-06-06T21:43:32.205779,Pre-HUSPM,SIGN,5,8185,48,0,0,174,0,0,0,0,0,0,0,0,0.0,0.0,False,SC2_INC,142120,0.0,7588.979487179483,3,0,0,0.0,0.0
IncUSP-Miner+_BMS1_SC2_INIT_0,2026-06-06T21:43:51.056860,IncUSP-Miner+,BMS1,0,1011,1040,4235939,16851,20,0,0,0,0,4219088,0,0,0,0.0,0.0,False,SC2_INIT,0,0.0,0.0,0,0,0,0.0,0.0
IncUSP-Miner+_BMS1_SC2_INC_1,2026-06-06T21:43:52.478483,IncUSP-Miner+,BMS1,1,57,224,147999,151793,20,0,0,0,0,148988,0,0,0,0.0,0.0,False,SC2_INC,0,0.0,0.0,0,0,0,0.0,0.0
IncUSP-Miner+_BMS1_SC2_INC_2,2026-06-06T21:43:53.190434,IncUSP-Miner+,BMS1,2,120,253,173511,207765,20,0,0,0,0,205693,0,0,0,0.0,0.0,False,SC2_INC,0,0.0,0.0,0,0,0,0.0,0.0
IncUSP-Miner+_BMS1_SC2_INC_3,2026-06-06T21:43:53.802048,IncUSP-Miner+,BMS1,3,102,312,184579,245801,19,0,0,0,0,243959,0,0,0,0.0,0.0,False,SC2_INC,0,0.0,0.0,0,0,0,0.0,0.0
IncUSP-Miner+_BMS1_SC2_INC_4,2026-06-06T21:43:54.478936,IncUSP-Miner+,BMS1,4,-1,23909,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,False,SC2_INC_OOM,0,0.0,0.0,0,0,0,0.0,0.0
IncUSP-Miner+_BMS1_SC2_INC_5,2026-06-06T21:45:17.588454,IncUSP-Miner+,BMS1,5,-1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,False,SC2_INC_SKIPPED_POISONED,0,0.0,0.0,0,0,0,0.0,0.0
Pre-HUSPM_BMS1_SC2_INIT_0,2026-06-06T21:45:18.002861,Pre-HUSPM,BMS1,0,27696,8020,389388611,389388611,20,0,0,0,0,0,387754768,0,0,0.0,0.0,False,SC2_INIT,1616992,0.0,9609.67951318458,0,0,0,0.0,0.0
Pre-HUSPM_BMS1_SC2_INC_1,2026-06-06T21:45:46.816846,Pre-HUSPM,BMS1,1,122337,9,0,0,20,0,0,0,0,0,0,0,0,0.0,0.0,False,SC2_INC,27824,0.0,9609.67951318458,0,0,0,0.0,0.0
Pre-HUSPM_BMS1_SC2_INC_2,2026-06-06T21:47:49.555383,Pre-HUSPM,BMS1,2,727,227,6384149,6384149,20,0,0,0,0,0,6357709,0,0,0.0,0.0,False,SC2_INC,24144,0.0,13850.285192697762,1,0,0,0.0,0.0
Pre-HUSPM_BMS1_SC2_INC_3,2026-06-06T21:47:50.682744,Pre-HUSPM,BMS1,3,1869,4,0,0,19,0,0,0,0,0,0,0,0,0.0,0.0,False,SC2_INC,6222,0.0,13850.285192697762,1,0,0,0.0,0.0
Pre-HUSPM_BMS1_SC2_INC_4,2026-06-06T21:47:52.956732,Pre-HUSPM,BMS1,4,-1,24467,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,False,SC2_INC_OOM,0,0.0,0.0,0,0,0,0.0,0.0
Pre-HUSPM_BMS1_SC2_INC_5,2026-06-06T21:50:23.496545,Pre-HUSPM,BMS1,5,-1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,False,SC2_INC_SKIPPED_POISONED,0,0.0,0.0,0,0,0,0.0,0.0
IncUSP-Miner+_BIBLE_SC2_INIT_0,2026-06-06T21:50:30.711877,IncUSP-Miner+,BIBLE,0,96964,21040,8755732,5673,177,0,0,0,0,8750059,0,0,0,0.0,0.0,False,SC2_INIT,0,0.0,0.0,0,0,0,0.0,0.0
IncUSP-Miner+_BIBLE_SC2_INC_1,2026-06-06T21:52:12.051574,IncUSP-Miner+,BIBLE,1,2452,7080,1289853,1289855,144,0,0,0,0,1285225,0,0,0,0.0,0.0,False,SC2_INC,0,0.0,0.0,0,0,0,0.0,0.0
IncUSP-Miner+_BIBLE_SC2_INC_2,2026-06-06T21:52:20.509661,IncUSP-Miner+,BIBLE,2,-1,7394,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,False,SC2_INC_OOM,0,0.0,0.0,0,0,0,0.0,0.0
IncUSP-Miner+_BIBLE_SC2_INC_3,2026-06-06T21:54:09.693422,IncUSP-Miner+,BIBLE,3,-1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,False,SC2_INC_SKIPPED_POISONED,0,0.0,0.0,0,0,0,0.0,0.0
IncUSP-Miner+_BIBLE_SC2_INC_4,2026-06-06T21:54:09.693682,IncUSP-Miner+,BIBLE,4,-1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,False,SC2_INC_SKIPPED_POISONED,0,0.0,0.0,0,0,0,0.0,0.0
IncUSP-Miner+_BIBLE_SC2_INC_5,2026-06-06T21:54:09.693762,IncUSP-Miner+,BIBLE,5,-1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,False,SC2_INC_SKIPPED_POISONED,0,0.0,0.0,0,0,0,0.0,0.0
Pre-HUSPM_BIBLE_SC2_INIT_0,2026-06-06T21:54:10.133717,Pre-HUSPM,BIBLE,0,42427,6163,9664898,9664898,177,0,0,0,0,0,9658422,0,0,0.0,0.0,False,SC2_INIT,2608,0.0,94680.92307692303,0,0,0,0.0,0.0
Pre-HUSPM_BIBLE_SC2_INC_1,2026-06-06T21:54:52.978625,Pre-HUSPM,BIBLE,1,6450,8,0,0,144,0,0,0,0,0,0,0,0,0.0,0.0,False,SC2_INC,2149,0.0,94680.92307692303,0,0,0,0.0,0.0
Pre-HUSPM_BIBLE_SC2_INC_2,2026-06-06T21:54:59.838125,Pre-HUSPM,BIBLE,2,15990,8,0,0,140,0,0,0,0,0,0,0,0,0.0,0.0,False,SC2_INC,1680,0.0,94680.92307692303,0,0,0,0.0,0.0
Pre-HUSPM_BIBLE_SC2_INC_3,2026-06-06T21:55:16.249806,Pre-HUSPM,BIBLE,3,11834,8,0,0,137,0,0,0,0,0,0,0,0,0.0,0.0,False,SC2_INC,1711,0.0,94680.92307692303,0,0,0,0.0,0.0
Pre-HUSPM_BIBLE_SC2_INC_4,2026-06-06T21:55:28.501612,Pre-HUSPM,BIBLE,4,4557,8,0,0,118,0,0,0,0,0,0,0,0,0.0,0.0,False,SC2_INC,1702,0.0,94680.92307692303,0,0,0,0.0,0.0
Pre-HUSPM_BIBLE_SC2_INC_5,2026-06-06T21:55:33.479367,Pre-HUSPM,BIBLE,5,6201,8,0,0,109,0,0,0,0,0,0,0,0,0.0,0.0,False,SC2_INC,1504,0.0,94680.92307692303,0,0,0,0.0,0.0
IncUSP-Miner+_LEVIATHAN_SC2_INIT_0,2026-06-06T21:55:44.667295,IncUSP-Miner+,LEVIATHAN,0,7836,8703,2053580,1571,113,0,0,0,0,2052009,0,0,0,0.0,0.0,False,SC2_INIT,0,0.0,0.0,0,0,0,0.0,0.0
IncUSP-Miner+_LEVIATHAN_SC2_INC_1,2026-06-06T21:55:53.255116,IncUSP-Miner+,LEVIATHAN,1,1510,2240,723533,723533,113,0,0,0,0,722012,0,0,0,0.0,0.0,False,SC2_INC,0,0.0,0.0,0,0,0,0.0,0.0
IncUSP-Miner+_LEVIATHAN_SC2_INC_2,2026-06-06T21:55:56.156494,IncUSP-Miner+,LEVIATHAN,2,1161,2864,615527,1073210,117,0,0,0,0,1071745,0,0,0,0.0,0.0,False,SC2_INC,0,0.0,0.0,0,0,0,0.0,0.0
IncUSP-Miner+_LEVIATHAN_SC2_INC_3,2026-06-06T21:55:59.427826,IncUSP-Miner+,LEVIATHAN,3,750,1856,589027,1351926,115,0,0,0,0,1350483,0,0,0,0.0,0.0,False,SC2_INC,0,0.0,0.0,0,0,0,0.0,0.0
IncUSP-Miner+_LEVIATHAN_SC2_INC_4,2026-06-06T21:56:02.685603,IncUSP-Miner+,LEVIATHAN,4,921,2240,653675,1635303,116,0,0,0,0,1633877,0,0,0,0.0,0.0,False,SC2_INC,0,0.0,0.0,0,0,0,0.0,0.0
IncUSP-Miner+_LEVIATHAN_SC2_INC_5,2026-06-06T21:56:06.716288,IncUSP-Miner+,LEVIATHAN,5,1956,2728,734990,1974423,125,0,0,0,0,1972985,0,0,0,0.0,0.0,False,SC2_INC,0,0.0,0.0,0,0,0,0.0,0.0
Pre-HUSPM_LEVIATHAN_SC2_INIT_0,2026-06-06T21:56:11.600369,Pre-HUSPM,LEVIATHAN,0,-1,24474,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,False,SC2_INIT_OOM,0,0.0,0.0,0,0,0,0.0,0.0
Pre-HUSPM_LEVIATHAN_SC2_INC_1,2026-06-06T21:56:26.702949,Pre-HUSPM,LEVIATHAN,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,False,SC2_INC_SKIPPED_POISONED,0,0.0,0.0,0,0,0,0.0,0.0
