run_id,timestamp,algorithm,dataset,iteration,runtime_ms,peak_heap_mb,candidate_count,explored_nodes,total_patterns_found,pruned_swu,pruned_depth,pruned_lar,pruned_iip,pruned_tsu,pruned_peu,pruned_value,pruned_iub,lut_dyn,cub_val,cub_triggered,op_type,prelarge_count,uut_val,sft_val,rescan_count,blocks_read,blocks_skipped,sigma2,rho
USpan_SIGN_SC3_su=0.02_0,2026-06-06T23:24:26.876752,USpan,SIGN,0,65994,429,67227632,5855626,905,61372006,5442629,0,0,0,0,0,0,0.0,0.0,False,SC3_su=0.02,0,0.0,0.0,0,0,0,0.0,0.0
HUSP-ULL_SIGN_SC3_su=0.02_0,2026-06-06T23:25:33.188536,HUSP-ULL,SIGN,0,17680,389,67227632,413051,905,69,0,54,66814512,0,0,0,0,0.0,0.0,False,SC3_su=0.02,0,0.0,0.0,0,0,0,0.0,0.0
IncUSP-Miner+_SIGN_SC3_su=0.02_0,2026-06-06T23:25:51.197296,IncUSP-Miner+,SIGN,0,28577,12445,67227632,412997,905,0,0,0,0,66814635,0,0,0,0.0,0.0,False,SC3_su=0.02,0,0.0,0.0,0,0,0,0.0,0.0
Pre-HUSPM_SIGN_SC3_su=0.02_0,2026-06-06T23:26:20.105594,Pre-HUSPM,SIGN,0,13688,1905,119486501,119486501,905,0,0,0,0,0,118699711,0,0,0.0,0.0,False,SC3_su=0.02,373793,0.0,6810.824489795919,0,0,0,0.0,0.0
USpan_SIGN_SC3_su=0.025_0,2026-06-06T23:26:38.175832,USpan,SIGN,0,42450,376,37440971,3011400,174,34429571,2795259,0,0,0,0,0,0,0.0,0.0,False,SC3_su=0.025,0,0.0,0.0,0,0,0,0.0,0.0
HUSP-ULL_SIGN_SC3_su=0.025_0,2026-06-06T23:27:20.957784,HUSP-ULL,SIGN,0,11576,319,37440971,216190,174,81,0,49,37224700,0,0,0,0,0.0,0.0,False,SC3_su=0.025,0,0.0,0.0,0,0,0,0.0,0.0
IncUSP-Miner+_SIGN_SC3_su=0.025_0,2026-06-06T23:27:32.864077,IncUSP-Miner+,SIGN,0,19132,10213,37440971,216141,174,0,0,0,0,37224830,0,0,0,0.0,0.0,False,SC3_su=0.025,0,0.0,0.0,0,0,0,0.0,0.0
Pre-HUSPM_SIGN_SC3_su=0.025_0,2026-06-06T23:27:52.327783,Pre-HUSPM,SIGN,0,9554,1639,67227632,67227632,174,0,0,0,0,0,66814635,0,0,0.0,0.0,False,SC3_su=0.025,196856,0.0,8557.189743589739,0,0,0,0.0,0.0
USpan_SIGN_SC3_su=0.03_0,2026-06-06T23:28:04.945366,USpan,SIGN,0,29592,320,22964673,1744094,31,21220579,1617524,0,0,0,0,0,0,0.0,0.0,False,SC3_su=0.03,0,0.0,0.0,0,0,0,0.0,0.0
HUSP-ULL_SIGN_SC3_su=0.03_0,2026-06-06T23:28:34.868774,HUSP-ULL,SIGN,0,8262,418,22964673,126625,31,81,0,55,22837967,0,0,0,0,0.0,0.0,False,SC3_su=0.03,0,0.0,0.0,0,0,0,0.0,0.0
IncUSP-Miner+_SIGN_SC3_su=0.03_0,2026-06-06T23:28:43.462574,IncUSP-Miner+,SIGN,0,13897,9509,22964673,126570,31,0,0,0,0,22838103,0,0,0,0.0,0.0,False,SC3_su=0.03,0,0.0,0.0,0,0,0,0.0,0.0
