run_id,timestamp,algorithm,dataset,iteration,runtime_ms,peak_heap_mb,candidate_count,explored_nodes,total_patterns_found,pruned_swu,pruned_depth,pruned_lar,pruned_iip,pruned_tsu,pruned_peu,pruned_value,pruned_iub,lut_dyn,cub_val,cub_triggered,op_type,prelarge_count,uut_val,sft_val,rescan_count,blocks_read,blocks_skipped,sigma2,rho
Pre-HUSPM[sl=0.3]_SIGN_SC4_0,2026-06-07T00:01:10.201106,Pre-HUSPM[sl=0.3],SIGN,0,60904,11299,791941831,791941831,174,0,0,0,0,0,784822660,0,0,0.0,0.0,False,SC4,6903030,0.0,29950.164102564107,0,0,0,0.0,0.0
Pre-HUSPM[sl=0.5]_SIGN_SC4_0,2026-06-07T00:02:30.205864,Pre-HUSPM[sl=0.5],SIGN,0,22898,4076,223353429,223353429,174,0,0,0,0,0,221749094,0,0,0.0,0.0,False,SC4,1388194,0.0,21392.97435897436,0,0,0,0.0,0.0
Pre-HUSPM[sl=0.7]_SIGN_SC4_0,2026-06-07T00:03:00.252335,Pre-HUSPM[sl=0.7],SIGN,0,11333,1639,94990557,94990557,174,0,0,0,0,0,94382815,0,0,0.0,0.0,False,SC4,391601,0.0,12835.78461538462,0,0,0,0.0,0.0
Pre-HUSPM[sl=0.9]_SIGN_SC4_0,2026-06-07T00:03:15.500264,Pre-HUSPM[sl=0.9],SIGN,0,6923,574,49414498,49414498,174,0,0,0,0,0,49121004,0,0,0.0,0.0,False,SC4,77353,0.0,4278.5948717948695,0,0,0,0.0,0.0
Pre-HUSPM[sl=0.3]_LEVIATHAN_SC4_0,2026-06-07T00:03:25.174096,Pre-HUSPM[sl=0.3],LEVIATHAN,0,-1,24489,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,False,SC4_OOM,0,0.0,0.0,0,0,0,0.0,0.0
Pre-HUSPM[sl=0.5]_LEVIATHAN_SC4_0,2026-06-07T00:03:45.076390,Pre-HUSPM[sl=0.5],LEVIATHAN,0,-1,24374,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,False,SC4_OOM,0,0.0,0.0,0,0,0,0.0,0.0
Pre-HUSPM[sl=0.7]_LEVIATHAN_SC4_0,2026-06-07T00:04:02.321585,Pre-HUSPM[sl=0.7],LEVIATHAN,0,8680,13290,5312042,5312042,125,0,0,0,0,0,5309072,0,0,0.0,0.0,False,SC4,1740,0.0,271076.955319149,0,0,0,0.0,0.0
Pre-HUSPM[sl=0.9]_LEVIATHAN_SC4_0,2026-06-07T00:04:12.283115,Pre-HUSPM[sl=0.9],LEVIATHAN,0,4108,2977,3307694,3307694,125,0,0,0,0,0,3306134,0,0,0.0,0.0,False,SC4,330,0.0,90358.98510638296,0,0,0,0.0,0.0
Pre-HUSPM[sl=0.3]_KOSARAK_SC4_0,2026-06-07T00:04:19.472533,Pre-HUSPM[sl=0.3],KOSARAK,0,-2,14020,5652362096,5652362096,6,0,0,0,0,0,5650597628,0,0,0.0,0.0,False,SC4_OT,1763587,0.0,8679075.992783505,0,0,0,0.0,0.0
Pre-HUSPM[sl=0.5]_KOSARAK_SC4_0,2026-06-07T02:04:25.973112,Pre-HUSPM[sl=0.5],KOSARAK,0,1394159,10717,2182679181,2182679181,6,0,0,0,0,0,2182435834,0,0,0.0,0.0,False,SC4,242097,0.0,6199339.994845361,0,0,0,0.0,0.0
Pre-HUSPM[sl=0.7]_KOSARAK_SC4_0,2026-06-07T02:33:07.523157,Pre-HUSPM[sl=0.7],KOSARAK,0,96902,13147,105676699,105676699,6,0,0,0,0,0,105666081,0,0,0.0,0.0,False,SC4,9368,0.0,3719603.996907217,0,0,0,0.0,0.0
Pre-HUSPM[sl=0.9]_KOSARAK_SC4_0,2026-06-07T02:36:39.440345,Pre-HUSPM[sl=0.9],KOSARAK,0,28988,10343,20687822,20687822,6,0,0,0,0,0,20685897,0,0,0.0,0.0,False,SC4,675,0.0,1239867.998969072,0,0,0,0.0,0.0
Adaptive[sl=0.3]_SIGN_SC4_0,2026-06-09T16:10:20.709032,Adaptive[sl=0.3],SIGN,0,16649,243,791941831,7119262,174,0,0,0,0,0,0,784822569,91,12514.89,0.0,False,SC4,176806,41716.3,29201.410000000003,0,0,0,0.0,0.0
Adaptive[sl=0.5]_SIGN_SC4_0,2026-06-09T16:10:37.717818,Adaptive[sl=0.5],SIGN,0,6019,89,223353429,1604444,174,0,0,0,0,0,0,221748985,109,20858.15,0.0,False,SC4,15312,41716.3,20858.15,0,0,0,0.0,0.0
Adaptive[sl=0.7]_SIGN_SC4_0,2026-06-09T16:10:44.071500,Adaptive[sl=0.7],SIGN,0,3057,33,94990557,607861,174,0,0,0,0,0,0,94382696,119,29201.409999999996,0.0,False,SC4,2051,41716.3,12514.890000000009,0,0,0,0.0,0.0
Adaptive[sl=0.9]_SIGN_SC4_0,2026-06-09T16:10:47.458097,Adaptive[sl=0.9],SIGN,0,1834,33,49414498,293621,174,0,0,0,0,0,0,49120877,127,37544.670000000006,0.0,False,SC4,216,41716.3,4171.629999999997,0,0,0,0.0,0.0
Adaptive[sl=0.3]_LEVIATHAN_SC4_0,2026-06-09T16:10:49.713106,Adaptive[sl=0.3],LEVIATHAN,0,1191,90,24918978,36702,125,0,0,0,0,0,0,24882276,8897,254812.338,0.0,False,SC4,5756,849374.46,594562.122,0,0,0,0.0,0.0
Adaptive[sl=0.5]_LEVIATHAN_SC4_0,2026-06-09T16:10:51.325073,Adaptive[sl=0.5],LEVIATHAN,0,577,67,9917201,15957,125,0,0,0,0,0,0,9901244,8939,424687.23,0.0,False,SC4,911,849374.46,424687.23,0,0,0,0.0,0.0
Adaptive[sl=0.7]_LEVIATHAN_SC4_0,2026-06-09T16:10:52.336718,Adaptive[sl=0.7],LEVIATHAN,0,358,70,5312042,11935,125,0,0,0,0,0,0,5300107,8965,594562.122,0.0,False,SC4,248,849374.46,254812.338,0,0,0,0.0,0.0
Adaptive[sl=0.9]_LEVIATHAN_SC4_0,2026-06-09T16:10:53.110143,Adaptive[sl=0.9],LEVIATHAN,0,252,57,3307694,10536,125,0,0,0,0,0,0,3297158,8976,764437.014,0.0,False,SC4,49,849374.46,84937.446,0,0,0,0.0,0.0
Adaptive[sl=0.3]_KOSARAK_SC4_0,2026-06-09T16:10:55.684898,Adaptive[sl=0.3],KOSARAK,0,-2,5184,63722738851,21969853,0,0,0,0,0,0,0,63700727511,77,3608015.877,0.0,False,SC4_OT,0,12026719.59,8418703.713,0,0,0,0.0,0.0
Adaptive[sl=0.5]_KOSARAK_SC4_0,2026-06-09T17:10:57.772854,Adaptive[sl=0.5],KOSARAK,0,189696,2815,2182679181,284120,6,0,0,0,0,0,0,2182395061,40773,6013359.795,0.0,False,SC4,24,12026719.59,6013359.795,0,0,0,0.0,0.0
Adaptive[sl=0.7]_KOSARAK_SC4_0,2026-06-09T17:14:08.621230,Adaptive[sl=0.7],KOSARAK,0,46900,2183,105676699,51627,6,0,0,0,0,0,0,105625072,41009,8418703.713,0.0,False,SC4,12,12026719.59,3608015.877,0,0,0,0.0,0.0
Adaptive[sl=0.9]_KOSARAK_SC4_0,2026-06-09T17:14:56.662096,Adaptive[sl=0.9],KOSARAK,0,27563,2024,20687822,43040,6,0,0,0,0,0,0,20644782,41115,10824047.631,0.0,False,SC4,3,12026719.59,1202671.9590000007,0,0,0,0.0,0.0
