run_id,timestamp,algorithm,dataset,iteration,runtime_ms,peak_heap_mb,candidate_count,explored_nodes,total_patterns_found,pruned_swu,pruned_depth,pruned_lar,pruned_iip,pruned_tsu,pruned_peu,pruned_value,pruned_iub,lut_dyn,cub_val,cub_triggered,op_type,prelarge_count,uut_val,sft_val,rescan_count,blocks_read,blocks_skipped,sigma2,rho
Adaptive-Full_SIGN_SC6_INIT_0,2026-06-09T17:23:20.567367,Adaptive-Full,SIGN,0,1752,59,80605452,647607,641,0,0,0,0,0,0,79957845,112,15676.520000000002,0.0,False,SC6_INIT,2389,19595.65,3919.129999999999,0,0,0,0.0,0.0
Adaptive-Full_SIGN_SC6_DEL_1,2026-06-09T17:23:22.335418,Adaptive-Full,SIGN,1,7,0,80605452,647607,683,0,0,0,0,0,0,79957845,112,14876.820000000003,39985.0,False,SC6_DEL,2257,18596.025,156765.19999999992,0,0,0,587321.7932098764,0.0968363136176066
Adaptive-Full_SIGN_SC6_DEL_2,2026-06-09T17:23:22.352796,Adaptive-Full,SIGN,2,5,1,80605452,647607,702,0,0,0,0,0,0,79957845,112,14130.640000000005,77294.0,False,SC6_DEL,2183,17663.3,156765.19999999992,0,0,0,508351.9783950617,0.0909164008684231
Adaptive-Full_SIGN_SC6_INS_3,2026-06-09T17:23:22.369979,Adaptive-Full,SIGN,3,4,0,0,0,575,0,0,0,0,0,0,79957845,112,14930.300000000005,117277.0,False,SC6_INS,2036,18662.875,4019.6205128205106,0,51876,54,220434.75617283952,0.0741565165195208
Adaptive-Full_SIGN_SC6_INS_4,2026-06-09T17:23:22.384090,Adaptive-Full,SIGN,4,3,0,0,0,530,0,0,0,0,0,0,79957845,112,15620.100000000002,151767.0,False,SC6_INS,1878,19525.125,4019.6205128205106,0,46998,54,148476.987654321,0.0744853580748042
Adaptive-Full_SIGN_SC6_DEL_5,2026-06-09T17:23:22.398113,Adaptive-Full,SIGN,5,1713,32,80107631,647594,526,0,0,0,0,0,0,159417882,227,14908.880000000005,0.0,True,SC6_DEL,2171,18636.1,156765.19999999992,1,46998,54,660447.9043209879,0.1089395686285537
Adaptive-Full_SIGN_SC6_INS_6,2026-06-09T17:23:24.122184,Adaptive-Full,SIGN,6,1679,30,75368138,595708,436,0,0,0,0,0,0,234190312,342,15928.800000000005,0.0,True,SC6_INS,1768,19911.0,3822.7897435897416,2,46998,54,702697.4320987655,0.0912620597693936
Adaptive-Full_SIGN_SC6_MOD_7,2026-06-09T17:23:25.810993,Adaptive-Full,SIGN,7,1593,47,71874119,562534,344,0,0,0,0,0,0,305501897,454,16048.500000000004,12413.0,True,SC6_MOD,1458,20060.625,4084.30769230769,3,46998,54,686708.4722222222,0.0962927735126933
Adaptive-Full_SIGN_SC6_INS_8,2026-06-09T17:23:27.414042,Adaptive-Full,SIGN,8,3,0,0,0,315,0,0,0,0,0,0,305501897,454,16685.220000000005,44249.0,False,SC6_INS,1278,20856.525,4114.999999999998,3,28818,3672,269981.4444444445,0.0830820454831008
Adaptive-Full_SIGN_SC6_INS_9,2026-06-09T17:23:27.426482,Adaptive-Full,SIGN,9,2,0,0,0,276,0,0,0,0,0,0,305501897,454,17411.300000000003,80553.0,False,SC6_INS,1148,21764.125,4114.999999999998,3,28674,3672,531532.2098765433,0.0948931247245482
