run_id,timestamp,algorithm,dataset,iteration,runtime_ms,peak_heap_mb,candidate_count,explored_nodes,total_patterns_found,pruned_swu,pruned_depth,pruned_lar,pruned_iip,pruned_tsu,pruned_peu,pruned_value,pruned_iub,lut_dyn,cub_val,cub_triggered,op_type,prelarge_count,uut_val,sft_val,rescan_count,blocks_read,blocks_skipped,sigma2,rho
Pre-HUSPM_SIGN_SC7_ref_0,2026-06-08T05:18:53.717564,Pre-HUSPM,SIGN,0,8519,1063,67227632,67227632,174,0,0,0,0,0,66814635,0,0,0.0,0.0,False,SC7_ref,196856,0.0,8557.189743589739,0,0,0,0.0,0.0
Pre-HUSPM_BMS1_SC7_ref_0,2026-06-08T15:44:00.433450,Pre-HUSPM,BMS1,0,-1,24516,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,False,SC7_ref_OOM,0,0.0,0.0,0,0,0,0.0,0.0
Pre-HUSPM_BIBLE_SC7_ref_0,2026-06-08T15:45:50.038950,Pre-HUSPM,BIBLE,0,28685,10172,10040047,10040047,109,0,0,0,0,0,10035886,0,0,0.0,0.0,False,SC7_ref,1661,0.0,182308.52307692295,0,0,0,0.0,0.0
Pre-HUSPM_LEVIATHAN_SC7_ref_0,2026-06-08T15:46:22.274068,Pre-HUSPM,LEVIATHAN,0,4202,3011,4166831,4166831,125,0,0,0,0,0,4164697,0,0,0.0,0.0,False,SC7_ref,904,0.0,180717.9702127659,0,0,0,0.0,0.0
Pre-HUSPM_FIFA_SC7_ref_0,2026-06-08T15:59:46.891239,Pre-HUSPM,FIFA,0,838804,6461,1135046161,1135046161,30,0,0,0,0,0,1133761478,0,0,0.0,0.0,False,SC7_ref,774340,0.0,376020.95789473667,0,0,0,0.0,0.0
Pre-HUSPM_KOSARAK_SC7_ref_0,2026-06-08T16:25:11.348666,Pre-HUSPM,KOSARAK,0,40765,13429,36619139,36619139,6,0,0,0,0,0,36615608,0,0,0.0,0.0,False,SC7_ref,2281,0.0,2479735.997938144,0,0,0,0.0,0.0
proposed_full_SIGN_SC7_0,2026-06-09T17:24:24.775147,proposed_full,SIGN,0,2203,70,67227632,413120,174,0,0,0,0,0,0,66814512,123,33373.04000000001,0.0,False,SC7,731,41716.3,8343.259999999995,0,0,0,0.0,0.0
proposed_no_block_index_SIGN_SC7_0,2026-06-09T17:24:27.317026,proposed_no_block_index,SIGN,0,2225,34,67227632,413120,174,0,0,0,0,0,0,66814512,123,33373.04000000001,0.0,False,SC7,731,41716.3,8343.259999999995,0,0,0,0.0,0.0
proposed_no_IUB_SIGN_SC7_0,2026-06-09T17:24:29.879821,proposed_no_IUB,SIGN,0,2436,72,67235802,413120,174,0,0,0,0,0,0,66822682,0,33373.04000000001,0.0,False,SC7,731,41716.3,8343.259999999995,0,0,0,0.0,0.0
proposed_C5_on_SIGN_SC7_C5_0,2026-06-09T17:24:32.656876,proposed_C5_on,SIGN,0,7371,45,67227632,413120,174,0,0,0,0,0,0,277394456,469,33373.04000000001,0.0,True,SC7_C5,731,41716.3,5757.969230769228,3,49713,0,750194.8185400637,0.0308684805694885
proposed_C5_off_SIGN_SC7_C5_0,2026-06-09T17:24:40.367746,proposed_C5_off,SIGN,0,11167,96,67227632,413120,174,0,0,0,0,0,0,403884571,717,33373.04000000001,0.0,True,SC7_C5,731,41716.3,7588.979487179483,5,0,0,750194.8185400637,0.0308684805694885
proposed_full_BMS1_SC7_0,2026-06-09T17:24:52.294718,proposed_full,BMS1,0,-2,2998,26740289045,3955972361,0,0,0,0,0,0,0,22784315592,0,80965.13600000001,0.0,False,SC7_OT,0,101206.42,20241.283999999985,0,0,0,0.0,0.0
proposed_no_block_index_BMS1_SC7_0,2026-06-09T18:24:53.080231,proposed_no_block_index,BMS1,0,-2,1674,27731128674,4101905971,0,0,0,0,0,0,0,23629221609,0,80965.13600000001,0.0,False,SC7_OT,0,101206.42,20241.283999999985,0,0,0,0.0,0.0
proposed_no_IUB_BMS1_SC7_0,2026-06-09T19:24:53.846145,proposed_no_IUB,BMS1,0,-2,3070,27419600184,4056063298,0,0,0,0,0,0,0,23363535791,0,80965.13600000001,0.0,False,SC7_OT,0,101206.42,20241.283999999985,0,0,0,0.0,0.0
proposed_C5_on_BMS1_SC7_C5_0,2026-06-09T20:24:54.659234,proposed_C5_on,BMS1,0,3107,103,0,0,17,0,0,0,0,0,0,387754577,191,80965.13600000001,3845050.0,False,SC7_C5,6,101206.42,9609.67951318458,0,93920,221640,67194.63671185989,0.0088907597973332
proposed_C5_off_BMS1_SC7_C5_0,2026-06-09T20:24:58.216735,proposed_C5_off,BMS1,0,-2,423,68388492808,2726081516,19,0,0,0,0,0,0,69830456472,882,72131.87520000001,0.0,True,SC7_C5_OT,10,90164.844,15841.275456389443,4,0,0,162192.09120884186,0.009730217621822
proposed_full_BIBLE_SC7_0,2026-06-09T21:24:59.601848,proposed_full,BIBLE,0,1574,318,10040047,17970,109,0,0,0,0,0,0,10022077,13809,711003.2400000001,0.0,False,SC7,92,888754.05,177750.80999999994,0,0,0,0.0,0.0
proposed_no_block_index_BIBLE_SC7_0,2026-06-09T21:25:01.597532,proposed_no_block_index,BIBLE,0,1508,334,10040047,17970,109,0,0,0,0,0,0,10022077,13809,711003.2400000001,0.0,False,SC7,92,888754.05,177750.80999999994,0,0,0,0.0,0.0
proposed_no_IUB_BIBLE_SC7_0,2026-06-09T21:25:03.515245,proposed_no_IUB,BIBLE,0,1565,249,11213292,17970,109,0,0,0,0,0,0,11195322,0,711003.2400000001,0.0,False,SC7,92,888754.05,177750.80999999994,0,0,0,0.0,0.0
proposed_full_LEVIATHAN_SC7_0,2026-06-09T21:25:05.896281,proposed_full,LEVIATHAN,0,286,63,4166831,11103,125,0,0,0,0,0,0,4155728,8969,679499.568,0.0,False,SC7,125,849374.46,169874.892,0,0,0,0.0,0.0
proposed_no_block_index_LEVIATHAN_SC7_0,2026-06-09T21:25:06.574118,proposed_no_block_index,LEVIATHAN,0,288,64,4166831,11103,125,0,0,0,0,0,0,4155728,8969,679499.568,0.0,False,SC7,125,849374.46,169874.892,0,0,0,0.0,0.0
proposed_no_IUB_LEVIATHAN_SC7_0,2026-06-09T21:25:07.275737,proposed_no_IUB,LEVIATHAN,0,303,66,4922646,11103,125,0,0,0,0,0,0,4911543,0,679499.568,0.0,False,SC7,125,849374.46,169874.892,0,0,0,0.0,0.0
proposed_full_FIFA_SC7_0,2026-06-09T21:25:08.523945,proposed_full,FIFA,0,190859,1017,1135046161,1287526,30,0,0,0,0,0,0,1133758635,2843,1428879.6400000004,0.0,False,SC7,93,1786099.55,357219.9099999997,0,0,0,0.0,0.0
proposed_no_block_index_FIFA_SC7_0,2026-06-09T21:28:19.810968,proposed_no_block_index,FIFA,0,189973,394,1135046161,1287526,30,0,0,0,0,0,0,1133758635,2843,1428879.6400000004,0.0,False,SC7,93,1786099.55,357219.9099999997,0,0,0,0.0,0.0
proposed_no_IUB_FIFA_SC7_0,2026-06-09T21:31:30.308484,proposed_no_IUB,FIFA,0,191468,1362,1135600564,1287526,30,0,0,0,0,0,0,1134313038,0,1428879.6400000004,0.0,False,SC7,93,1786099.55,357219.9099999997,0,0,0,0.0,0.0
proposed_full_KOSARAK_SC7_0,2026-06-09T21:34:44.483151,proposed_full,KOSARAK,0,31234,2712,36619139,44606,6,0,0,0,0,0,0,36574533,41075,9621375.672,0.0,False,SC7,8,12026719.59,2405343.9179999996,0,0,0,0.0,0.0
proposed_no_block_index_KOSARAK_SC7_0,2026-06-09T21:35:16.884475,proposed_no_block_index,KOSARAK,0,32991,2016,36619139,44606,6,0,0,0,0,0,0,36574533,41075,9621375.672,0.0,False,SC7,8,12026719.59,2405343.9179999996,0,0,0,0.0,0.0
proposed_no_IUB_KOSARAK_SC7_0,2026-06-09T21:35:50.984666,proposed_no_IUB,KOSARAK,0,37080,2073,67518580,44606,6,0,0,0,0,0,0,67473974,0,9621375.672,0.0,False,SC7,8,12026719.59,2405343.9179999996,0,0,0,0.0,0.0
proposed_C5_on_KOSARAK_SC7_C5_0,2026-06-09T21:36:29.165345,proposed_C5_on,KOSARAK,0,17039,1880,0,0,6,0,0,0,0,0,0,26120150,35413,9621375.672,199891062.0,False,SC7_C5,8,12026719.59,1243296.4391752577,0,1385600,814,1418180.9193195235,0.0022666608006296
proposed_C5_off_KOSARAK_SC7_C5_0,2026-06-09T21:36:47.329183,proposed_C5_off,KOSARAK,0,138104,3408,36619139,44606,6,0,0,0,0,0,0,196087502,230991,9621375.672,0.0,True,SC7_C5,8,12026719.59,2233411.527835051,5,0,0,1418180.9193195235,0.0022666608006296
